[CPU 0] ens1f1np1 flows:     21, RX:  191633(pps) (err:     0),  0.14(Gbps), TX:  781551(pps),  9.56(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191633(pps) (err:     0),  0.14(Gbps), TX:  781551(pps),  9.56(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190780(pps) (err:     0),  0.14(Gbps), TX:  781069(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190780(pps) (err:     0),  0.14(Gbps), TX:  781069(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190454(pps) (err:     0),  0.14(Gbps), TX:  777751(pps),  9.51(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190454(pps) (err:     0),  0.14(Gbps), TX:  777751(pps),  9.51(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190946(pps) (err:     0),  0.14(Gbps), TX:  779354(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190946(pps) (err:     0),  0.14(Gbps), TX:  779354(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190790(pps) (err:     0),  0.14(Gbps), TX:  779618(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190790(pps) (err:     0),  0.14(Gbps), TX:  779618(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190789(pps) (err:     0),  0.14(Gbps), TX:  780504(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190789(pps) (err:     0),  0.14(Gbps), TX:  780504(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190507(pps) (err:     0),  0.14(Gbps), TX:  779665(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190507(pps) (err:     0),  0.14(Gbps), TX:  779665(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191303(pps) (err:     0),  0.14(Gbps), TX:  781259(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191303(pps) (err:     0),  0.14(Gbps), TX:  781259(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190492(pps) (err:     0),  0.14(Gbps), TX:  778999(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190492(pps) (err:     0),  0.14(Gbps), TX:  778999(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191178(pps) (err:     0),  0.14(Gbps), TX:  780157(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191178(pps) (err:     0),  0.14(Gbps), TX:  780157(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191055(pps) (err:     0),  0.14(Gbps), TX:  781995(pps),  9.56(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191055(pps) (err:     0),  0.14(Gbps), TX:  781995(pps),  9.56(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191045(pps) (err:     0),  0.14(Gbps), TX:  779706(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191045(pps) (err:     0),  0.14(Gbps), TX:  779706(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190146(pps) (err:     0),  0.14(Gbps), TX:  778633(pps),  9.52(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190146(pps) (err:     0),  0.14(Gbps), TX:  778633(pps),  9.52(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191124(pps) (err:     0),  0.14(Gbps), TX:  779334(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191124(pps) (err:     0),  0.14(Gbps), TX:  779334(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     22, RX:  190816(pps) (err:     0),  0.14(Gbps), TX:  777883(pps),  9.51(Gbps)
[ ALL ] ens1f1np1 flows:     22, RX:  190816(pps) (err:     0),  0.14(Gbps), TX:  777883(pps),  9.51(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190769(pps) (err:     0),  0.14(Gbps), TX:  779142(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190769(pps) (err:     0),  0.14(Gbps), TX:  779142(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190774(pps) (err:     0),  0.14(Gbps), TX:  779864(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190774(pps) (err:     0),  0.14(Gbps), TX:  779864(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191033(pps) (err:     0),  0.14(Gbps), TX:  781011(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191033(pps) (err:     0),  0.14(Gbps), TX:  781011(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190754(pps) (err:     0),  0.14(Gbps), TX:  779905(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190754(pps) (err:     0),  0.14(Gbps), TX:  779905(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190783(pps) (err:     0),  0.14(Gbps), TX:  777859(pps),  9.51(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190783(pps) (err:     0),  0.14(Gbps), TX:  777859(pps),  9.51(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191001(pps) (err:     0),  0.14(Gbps), TX:  780960(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191001(pps) (err:     0),  0.14(Gbps), TX:  780960(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191128(pps) (err:     0),  0.14(Gbps), TX:  780022(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191128(pps) (err:     0),  0.14(Gbps), TX:  780022(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190734(pps) (err:     0),  0.14(Gbps), TX:  781592(pps),  9.56(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190734(pps) (err:     0),  0.14(Gbps), TX:  781592(pps),  9.56(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190802(pps) (err:     0),  0.14(Gbps), TX:  778783(pps),  9.52(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190802(pps) (err:     0),  0.14(Gbps), TX:  778783(pps),  9.52(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190844(pps) (err:     0),  0.14(Gbps), TX:  779621(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190844(pps) (err:     0),  0.14(Gbps), TX:  779621(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190993(pps) (err:     0),  0.14(Gbps), TX:  778957(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190993(pps) (err:     0),  0.14(Gbps), TX:  778957(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     22, RX:  191126(pps) (err:     0),  0.14(Gbps), TX:  781110(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     22, RX:  191126(pps) (err:     0),  0.14(Gbps), TX:  781110(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191172(pps) (err:     0),  0.14(Gbps), TX:  780651(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191172(pps) (err:     0),  0.14(Gbps), TX:  780651(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191612(pps) (err:     0),  0.14(Gbps), TX:  780878(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191612(pps) (err:     0),  0.14(Gbps), TX:  780878(pps),  9.55(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  191147(pps) (err:     0),  0.14(Gbps), TX:  779931(pps),  9.54(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  191147(pps) (err:     0),  0.14(Gbps), TX:  779931(pps),  9.54(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190911(pps) (err:     0),  0.14(Gbps), TX:  781894(pps),  9.56(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190911(pps) (err:     0),  0.14(Gbps), TX:  781894(pps),  9.56(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190581(pps) (err:     0),  0.14(Gbps), TX:  779377(pps),  9.53(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190581(pps) (err:     0),  0.14(Gbps), TX:  779377(pps),  9.53(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  190962(pps) (err:     0),  0.14(Gbps), TX:  781203(pps),  9.55(Gbps)
[ ALL ] ens1f1np1 flows:     21, RX:  190962(pps) (err:     0),  0.14(Gbps), TX:  781203(pps),  9.55(Gbps)
