[CPU 0] ens1f1np1 flows:     25, RX:  751322(pps) (err:     0),  0.54(Gbps), TX:  751450(pps),  7.84(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  751322(pps) (err:     0),  0.54(Gbps), TX:  751450(pps),  7.84(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  750297(pps) (err:     0),  0.54(Gbps), TX:  750378(pps),  7.81(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  750297(pps) (err:     0),  0.54(Gbps), TX:  750378(pps),  7.81(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  750892(pps) (err:     0),  0.54(Gbps), TX:  750975(pps),  7.81(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  750892(pps) (err:     0),  0.54(Gbps), TX:  750975(pps),  7.81(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  752656(pps) (err:     0),  0.54(Gbps), TX:  752778(pps),  7.84(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  752656(pps) (err:     0),  0.54(Gbps), TX:  752778(pps),  7.84(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  749441(pps) (err:     0),  0.54(Gbps), TX:  749525(pps),  7.80(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  749441(pps) (err:     0),  0.54(Gbps), TX:  749525(pps),  7.80(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  751808(pps) (err:     0),  0.54(Gbps), TX:  751886(pps),  7.82(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  751808(pps) (err:     0),  0.54(Gbps), TX:  751886(pps),  7.82(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  751223(pps) (err:     0),  0.54(Gbps), TX:  751308(pps),  7.81(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  751223(pps) (err:     0),  0.54(Gbps), TX:  751308(pps),  7.81(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  753408(pps) (err:     0),  0.54(Gbps), TX:  753515(pps),  7.84(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  753408(pps) (err:     0),  0.54(Gbps), TX:  753515(pps),  7.84(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  749588(pps) (err:     0),  0.54(Gbps), TX:  749690(pps),  7.80(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  749588(pps) (err:     0),  0.54(Gbps), TX:  749690(pps),  7.80(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  754014(pps) (err:     0),  0.54(Gbps), TX:  754124(pps),  7.84(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  754014(pps) (err:     0),  0.54(Gbps), TX:  754124(pps),  7.84(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  752359(pps) (err:     0),  0.54(Gbps), TX:  752449(pps),  7.83(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  752359(pps) (err:     0),  0.54(Gbps), TX:  752449(pps),  7.83(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  749562(pps) (err:     0),  0.54(Gbps), TX:  749639(pps),  7.81(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  749562(pps) (err:     0),  0.54(Gbps), TX:  749639(pps),  7.81(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  748847(pps) (err:     0),  0.54(Gbps), TX:  748954(pps),  7.79(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  748847(pps) (err:     0),  0.54(Gbps), TX:  748954(pps),  7.79(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  748902(pps) (err:     0),  0.54(Gbps), TX:  748996(pps),  7.78(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  748902(pps) (err:     0),  0.54(Gbps), TX:  748996(pps),  7.78(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  748391(pps) (err:     0),  0.54(Gbps), TX:  748491(pps),  7.79(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  748391(pps) (err:     0),  0.54(Gbps), TX:  748491(pps),  7.79(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  749549(pps) (err:     0),  0.54(Gbps), TX:  749629(pps),  7.78(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  749549(pps) (err:     0),  0.54(Gbps), TX:  749629(pps),  7.78(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  748271(pps) (err:     0),  0.54(Gbps), TX:  748357(pps),  7.78(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  748271(pps) (err:     0),  0.54(Gbps), TX:  748357(pps),  7.78(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  747841(pps) (err:     0),  0.54(Gbps), TX:  747908(pps),  7.79(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  747841(pps) (err:     0),  0.54(Gbps), TX:  747908(pps),  7.79(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  748515(pps) (err:     0),  0.54(Gbps), TX:  748605(pps),  7.79(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  748515(pps) (err:     0),  0.54(Gbps), TX:  748605(pps),  7.79(Gbps)
[CPU 0] ens1f1np1 flows:     25, RX:  749283(pps) (err:     0),  0.54(Gbps), TX:  749380(pps),  7.79(Gbps)
[ ALL ] ens1f1np1 flows:     25, RX:  749283(pps) (err:     0),  0.54(Gbps), TX:  749380(pps),  7.79(Gbps)
