[CPU 1] ens1f1np1 flows:     20, RX:  260980(pps) (err:     0),  0.19(Gbps), TX:  643898(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260531(pps) (err:     0),  0.19(Gbps), TX:  644030(pps),  6.57(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260574(pps) (err:     0),  0.19(Gbps), TX:  643983(pps),  6.57(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020625(pps) (err:     0),  0.74(Gbps), TX: 2459770(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238868(pps) (err:     0),  0.17(Gbps), TX:  527556(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261145(pps) (err:     0),  0.19(Gbps), TX:  643998(pps),  6.57(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260708(pps) (err:     0),  0.19(Gbps), TX:  644039(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260276(pps) (err:     0),  0.19(Gbps), TX:  643853(pps),  6.56(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020997(pps) (err:     0),  0.74(Gbps), TX: 2459446(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238937(pps) (err:     0),  0.17(Gbps), TX:  528232(pps),  5.22(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261294(pps) (err:     0),  0.19(Gbps), TX:  643426(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260275(pps) (err:     0),  0.19(Gbps), TX:  643415(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260837(pps) (err:     0),  0.19(Gbps), TX:  643201(pps),  6.56(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1021343(pps) (err:     0),  0.74(Gbps), TX: 2458274(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238827(pps) (err:     0),  0.17(Gbps), TX:  527534(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  260976(pps) (err:     0),  0.19(Gbps), TX:  643918(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260281(pps) (err:     0),  0.19(Gbps), TX:  643513(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260770(pps) (err:     0),  0.19(Gbps), TX:  644045(pps),  6.57(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020854(pps) (err:     0),  0.74(Gbps), TX: 2459010(pps), 24.91(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238580(pps) (err:     0),  0.17(Gbps), TX:  527963(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261226(pps) (err:     0),  0.19(Gbps), TX:  643587(pps),  6.57(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260514(pps) (err:     0),  0.19(Gbps), TX:  643394(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260478(pps) (err:     0),  0.19(Gbps), TX:  643512(pps),  6.56(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020798(pps) (err:     0),  0.74(Gbps), TX: 2458456(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238936(pps) (err:     0),  0.17(Gbps), TX:  528284(pps),  5.22(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261038(pps) (err:     0),  0.19(Gbps), TX:  643658(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260884(pps) (err:     0),  0.19(Gbps), TX:  643482(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260565(pps) (err:     0),  0.19(Gbps), TX:  643406(pps),  6.57(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1021423(pps) (err:     0),  0.74(Gbps), TX: 2458830(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238682(pps) (err:     0),  0.17(Gbps), TX:  527082(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  260910(pps) (err:     0),  0.19(Gbps), TX:  643724(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260741(pps) (err:     0),  0.19(Gbps), TX:  643606(pps),  6.57(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260270(pps) (err:     0),  0.19(Gbps), TX:  643388(pps),  6.55(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020603(pps) (err:     0),  0.74(Gbps), TX: 2457800(pps), 24.90(Gbps)
