[CPU 1] ens1f1np1 flows:     20, RX:  604584(pps) (err:     0),  0.44(Gbps), TX:  604698(pps),  6.30(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604570(pps) (err:     0),  0.44(Gbps), TX:  604686(pps),  6.30(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604199(pps) (err:     0),  0.44(Gbps), TX:  604336(pps),  6.30(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2386306(pps) (err:     0),  1.72(Gbps), TX: 2386793(pps), 24.83(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572184(pps) (err:     0),  0.41(Gbps), TX:  572297(pps),  5.93(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604450(pps) (err:     0),  0.44(Gbps), TX:  604560(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604101(pps) (err:     0),  0.44(Gbps), TX:  604236(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604080(pps) (err:     0),  0.44(Gbps), TX:  604163(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2384815(pps) (err:     0),  1.72(Gbps), TX: 2385256(pps), 24.81(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572457(pps) (err:     0),  0.41(Gbps), TX:  572564(pps),  5.93(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604254(pps) (err:     0),  0.44(Gbps), TX:  604340(pps),  6.29(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  603962(pps) (err:     0),  0.44(Gbps), TX:  604058(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  603536(pps) (err:     0),  0.44(Gbps), TX:  603674(pps),  6.28(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2384209(pps) (err:     0),  1.72(Gbps), TX: 2384636(pps), 24.80(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572025(pps) (err:     0),  0.41(Gbps), TX:  572115(pps),  5.93(Gbps)
