[CPU 1] ens1f1np1 flows:     20, RX:  156525(pps) (err:     0),  0.11(Gbps), TX:  509691(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155683(pps) (err:     0),  0.11(Gbps), TX:  508968(pps),  6.22(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156174(pps) (err:     0),  0.11(Gbps), TX:  509204(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622825(pps) (err:     0),  0.45(Gbps), TX: 2035986(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153354(pps) (err:     0),  0.11(Gbps), TX:  506915(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156495(pps) (err:     0),  0.11(Gbps), TX:  509801(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156018(pps) (err:     0),  0.11(Gbps), TX:  509312(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  155747(pps) (err:     0),  0.11(Gbps), TX:  509180(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  621614(pps) (err:     0),  0.45(Gbps), TX: 2035208(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153070(pps) (err:     0),  0.11(Gbps), TX:  507272(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156119(pps) (err:     0),  0.11(Gbps), TX:  509076(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156346(pps) (err:     0),  0.11(Gbps), TX:  509624(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156096(pps) (err:     0),  0.11(Gbps), TX:  509768(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  621631(pps) (err:     0),  0.45(Gbps), TX: 2035740(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  154138(pps) (err:     0),  0.11(Gbps), TX:  507609(pps),  6.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155327(pps) (err:     0),  0.11(Gbps), TX:  508529(pps),  6.22(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156056(pps) (err:     0),  0.11(Gbps), TX:  509441(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  157195(pps) (err:     0),  0.11(Gbps), TX:  509409(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622716(pps) (err:     0),  0.45(Gbps), TX: 2034988(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153098(pps) (err:     0),  0.11(Gbps), TX:  511404(pps),  6.25(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  157280(pps) (err:     0),  0.11(Gbps), TX:  512925(pps),  6.27(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  152250(pps) (err:     0),  0.11(Gbps), TX:  495291(pps),  6.06(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156215(pps) (err:     0),  0.11(Gbps), TX:  513166(pps),  6.28(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  618843(pps) (err:     0),  0.45(Gbps), TX: 2032786(pps), 24.86(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152511(pps) (err:     0),  0.11(Gbps), TX:  507137(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156418(pps) (err:     0),  0.11(Gbps), TX:  509640(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155568(pps) (err:     0),  0.11(Gbps), TX:  509442(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  155947(pps) (err:     0),  0.11(Gbps), TX:  509132(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  620444(pps) (err:     0),  0.45(Gbps), TX: 2035351(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153677(pps) (err:     0),  0.11(Gbps), TX:  507291(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  157170(pps) (err:     0),  0.11(Gbps), TX:  508940(pps),  6.22(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156431(pps) (err:     0),  0.11(Gbps), TX:  509711(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156641(pps) (err:     0),  0.11(Gbps), TX:  509245(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  623919(pps) (err:     0),  0.45(Gbps), TX: 2035187(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153289(pps) (err:     0),  0.11(Gbps), TX:  507052(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155389(pps) (err:     0),  0.11(Gbps), TX:  508619(pps),  6.22(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155594(pps) (err:     0),  0.11(Gbps), TX:  509035(pps),  6.22(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156190(pps) (err:     0),  0.11(Gbps), TX:  509438(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  620462(pps) (err:     0),  0.45(Gbps), TX: 2034144(pps), 24.88(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  154165(pps) (err:     0),  0.11(Gbps), TX:  507687(pps),  6.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155674(pps) (err:     0),  0.11(Gbps), TX:  509463(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  157271(pps) (err:     0),  0.11(Gbps), TX:  508883(pps),  6.22(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156915(pps) (err:     0),  0.11(Gbps), TX:  509483(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     81, RX:  624025(pps) (err:     0),  0.45(Gbps), TX: 2035516(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152842(pps) (err:     0),  0.11(Gbps), TX:  507145(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155893(pps) (err:     0),  0.11(Gbps), TX:  509573(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155835(pps) (err:     0),  0.11(Gbps), TX:  509369(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156362(pps) (err:     0),  0.11(Gbps), TX:  509033(pps),  6.22(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  620932(pps) (err:     0),  0.45(Gbps), TX: 2035120(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152886(pps) (err:     0),  0.11(Gbps), TX:  507131(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155463(pps) (err:     0),  0.11(Gbps), TX:  509543(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155958(pps) (err:     0),  0.11(Gbps), TX:  509525(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  157083(pps) (err:     0),  0.11(Gbps), TX:  509308(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  621390(pps) (err:     0),  0.45(Gbps), TX: 2035507(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  154380(pps) (err:     0),  0.11(Gbps), TX:  507889(pps),  6.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155618(pps) (err:     0),  0.11(Gbps), TX:  509582(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155641(pps) (err:     0),  0.11(Gbps), TX:  509344(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156796(pps) (err:     0),  0.11(Gbps), TX:  509369(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622435(pps) (err:     0),  0.45(Gbps), TX: 2036184(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153332(pps) (err:     0),  0.11(Gbps), TX:  506819(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156119(pps) (err:     0),  0.11(Gbps), TX:  508382(pps),  6.22(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  154325(pps) (err:     0),  0.11(Gbps), TX:  508643(pps),  6.22(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  155747(pps) (err:     0),  0.11(Gbps), TX:  509337(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  619523(pps) (err:     0),  0.45(Gbps), TX: 2033181(pps), 24.86(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152746(pps) (err:     0),  0.11(Gbps), TX:  507360(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155462(pps) (err:     0),  0.11(Gbps), TX:  509555(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  154949(pps) (err:     0),  0.11(Gbps), TX:  509081(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156119(pps) (err:     0),  0.11(Gbps), TX:  509786(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  619276(pps) (err:     0),  0.45(Gbps), TX: 2035782(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     21, RX:  152847(pps) (err:     0),  0.11(Gbps), TX:  507369(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156881(pps) (err:     0),  0.11(Gbps), TX:  509528(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  154823(pps) (err:     0),  0.11(Gbps), TX:  508947(pps),  6.22(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156781(pps) (err:     0),  0.11(Gbps), TX:  508996(pps),  6.22(Gbps)
[ ALL ] ens1f1np1 flows:     81, RX:  621332(pps) (err:     0),  0.45(Gbps), TX: 2034840(pps), 24.88(Gbps)
